unix_second,mean_cpu_power_mW,n_samples
1788273508,5691.8,5
1788273509,5699.4,5
1788273510,5691.4,5
1788273511,5680.2,5
1788273512,5715.2,5
1788273513,5699.5,4
1788273514,5718.4,5
1788273515,5703.8,5
1788273516,8881.2,5
1788273517,6652.6,5
1788273518,5712.0,5
1788273519,5722.0,5
1788273520,5731.0,5
1788273521,5778.4,5
1788273522,5725.4,5
1788273523,5858.8,5
1788273524,5835.2,4
1788273525,5868.4,5
1788273526,5831.8,5
1788273527,5866.4,5
1788273528,5850.6,5
1788273529,5844.2,5
1788273530,5873.8,5
1788273531,5842.8,5
1788273532,5831.4,5
1788273533,5849.0,5
1788273534,5893.6,5
1788273535,5840.6,5
1788273536,5859.2,5
1788273537,5899.0,4
1788273538,5847.4,5
1788273539,5848.6,5
1788273540,5849.6,5
1788273541,5839.6,5
1788273542,5845.4,5
1788273543,5835.8,5
1788273544,5871.0,5
1788273545,6314.0,5
1788273546,7219.6,5
1788273547,6455.8,5
1788273548,5865.0,5
1788273549,5952.0,4
1788273550,5841.4,5
1788273551,5865.6,5
1788273552,5929.6,5
1788273553,5893.2,5
1788273554,5903.6,5
1788273555,5858.6,5
1788273556,5860.0,5
1788273557,5868.0,5
1788273558,5871.6,5
1788273559,5857.0,5
1788273560,5875.4,5
1788273561,5849.2,4
1788273562,5867.8,5
1788273563,5843.4,5
1788273564,5879.8,5
1788273565,5872.4,5
1788273566,5874.4,5
1788273567,5864.8,5
1788273568,5864.2,5
1788273569,5872.8,5
1788273570,5878.0,5
1788273571,5879.4,5
1788273572,5887.0,5
1788273573,5845.8,5
1788273574,5797.2,4
1788273575,5907.6,5
1788273576,5884.0,5
1788273577,17207.2,5
1788273578,18849.6,5
1788273579,19464.6,5
1788273580,18714.0,5
1788273581,17903.4,5
1788273582,17347.0,5
1788273583,16997.8,5
1788273584,16485.0,5
1788273585,16134.2,4
1788273586,15697.2,5
1788273587,15466.2,5
1788273588,15209.0,5
1788273589,14826.0,5
1788273590,14780.8,5
1788273591,14529.6,5
1788273592,14537.4,5
1788273593,14293.2,5
1788273594,14150.2,5
1788273595,14056.8,5
1788273596,14131.5,4
1788273597,14108.2,5
1788273598,14136.2,5
1788273599,14148.0,5
1788273600,14156.8,5
1788273601,14058.8,5
1788273602,14037.6,5
1788273603,14031.8,5
1788273604,14009.0,5
1788273605,13900.4,5
1788273606,13887.4,5
1788273607,13906.6,5
1788273608,13785.8,4
1788273609,14431.4,5
1788273610,13989.2,5
1788273611,13578.4,5
1788273612,13643.0,5
1788273613,13562.8,5
1788273614,13633.4,5
1788273615,13508.2,5
1788273616,13542.4,5
1788273617,13525.4,5
1788273618,13451.0,5
1788273619,13502.2,5
1788273620,13436.5,4
1788273621,13494.6,5
1788273622,13189.2,5
1788273623,7196.0,5
1788273624,7464.0,5
1788273625,7370.6,5
1788273626,7424.4,5
1788273627,7609.0,5
1788273628,7370.6,5
1788273629,7372.4,5
1788273630,7346.0,5
1788273631,7356.8,5
1788273632,7358.5,4
1788273633,7313.8,5
1788273634,7379.8,5
1788273635,6976.6,5
1788273636,6946.6,5
1788273637,6952.4,5
1788273638,6970.0,5
1788273639,8083.8,5
1788273640,7782.4,5
1788273641,7128.0,5
1788273642,7066.4,5
1788273643,6995.8,4
1788273644,6978.0,5
1788273645,6957.8,5
1788273646,6940.6,5
1788273647,7038.4,5
1788273648,7046.8,5
1788273649,7673.4,5
1788273650,6939.6,5
1788273651,7032.8,5
1788273652,7004.6,5
1788273653,7093.4,5
1788273654,7013.8,5
1788273655,7486.0,4
1788273656,7320.4,5
1788273657,7337.4,5
1788273658,7437.2,5
1788273659,7312.2,5
1788273660,7355.0,5
1788273661,7275.0,5
1788273662,7272.0,5
1788273663,7283.8,5
1788273664,7317.4,5
1788273665,7304.2,5
1788273666,7278.8,5
1788273667,7261.0,5
1788273668,7299.0,4
1788273669,7266.6,5
1788273670,7279.6,5
1788273671,7282.8,5
1788273672,7288.2,5
1788273673,7263.4,5
1788273674,7276.6,5
1788273675,7275.8,5
1788273676,7253.2,5
1788273677,7655.6,5
1788273678,7268.8,5
1788273679,7266.8,5
1788273680,7277.2,4
1788273681,7245.8,5
1788273682,7270.4,5
1788273683,17051.8,5
1788273684,20011.0,5
1788273685,18593.2,5
1788273686,17672.8,5
1788273687,17108.6,5
1788273688,16693.4,5
1788273689,16225.4,5
1788273690,16009.4,5
1788273691,15832.2,5
1788273692,15580.0,4
1788273693,15497.0,5
1788273694,15331.6,5
1788273695,15195.0,5
1788273696,15043.8,5
1788273697,14962.2,5
1788273698,14906.6,5
1788273699,14700.4,5
1788273700,14714.4,5
1788273701,14603.0,5
1788273702,14597.0,5
1788273703,14562.8,5
1788273704,14416.0,4
1788273705,14400.6,5
1788273706,14733.0,5
1788273707,14669.8,5
1788273708,14666.4,5
1788273709,14603.2,5
1788273710,14626.8,5
1788273711,14523.8,5
1788273712,14459.2,5
1788273713,14450.0,5
1788273714,14380.6,5
1788273715,14410.8,5
1788273716,14357.8,4
1788273717,14338.2,5
1788273718,14277.0,5
1788273719,14348.6,5
1788273720,14211.4,5
1788273721,14069.4,5
1788273722,13956.0,5
1788273723,13858.2,5
1788273724,13734.2,5
1788273725,13624.6,5
1788273726,13510.2,5
1788273727,13387.2,4
1788273728,13291.4,5
1788273729,13154.8,5
1788273730,12470.2,5
1788273731,8562.4,5
1788273732,8766.8,5
1788273733,8770.6,5
1788273734,8774.6,5
1788273735,8718.8,5
1788273736,8738.4,5
1788273737,8746.8,5
1788273738,8871.4,5
1788273739,8761.5,4
1788273740,8727.0,5
1788273741,8702.4,5
1788273742,8731.2,5
1788273743,8708.6,5
1788273744,8663.6,5
1788273745,8678.8,5
1788273746,8716.6,5
1788273747,9004.2,5
1788273748,8715.6,5
1788273749,8736.6,5
1788273750,8708.8,5
1788273751,8698.8,4
1788273752,8684.6,5
1788273753,8702.0,5
1788273754,8702.8,5
1788273755,8672.6,5
1788273756,8712.4,5
1788273757,8717.6,5
1788273758,8690.2,5
1788273759,8710.6,5
1788273760,8677.4,5
1788273761,8740.8,5
1788273762,8687.4,5
